-------- 1 - Atualizações
NATUREZA,EFETIVO-BM / EGSYS,DATA-ATUALIZAÇÃO,DATA-ATUALIZAÇÃO-EGSYS,OBSERVAÇÃO
C9 - ENVENENAMENTO - OVERDOSE,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
C10 - GRAVIDEZ - PARTO - ABORTO,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
C11 - PROBLEMA DESC - HOMEM CAÍ,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
C12 - PROBLEMAS RESPIRATÓRIOS,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
T1 - ACIDENTE C MAQUINA-INDUST,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
T2 - ACIDENTE DE TRANSITO,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO E SBV EM AG. ENVOLVIDO
T3 - AGRESSÃO - VIOL. SEXUAL,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO E SBV EM AG. ENVOLVIDO
T4 - FAB E FAF,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO E SBV EM AG. ENVOLVIDO
T5 - MORDIDA DE ANIMAL,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO E SBV EM AG. ENVOLVIDO
T6 - ANIMAIS PEÇONHENTOS,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO E SBV EM AG. ENVOLVIDO
T7 - QUEDAS-TRAUMA DE COLUNA,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
T8 - QUEIMADURAS,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO E SBV EM AG. ENVOLVIDO
T9 - TRAUMAS ESPECÍFICOS,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
B3 - DESLIZAMENTO - SOTERRAMENT,BM CEZAR,29/02/24,,INSERÇÃO SBV EM AG. ENVOLVIDO
B4 - ELETRICO - RISCO,BM CEZAR,29/02/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
B5 - EXPLOSÃO,BM CEZAR,01/03/24,,INSERÇÃO MÉDICO E SBV EM AG. ENVOLVIDO
B15 - INSETOS - REMOÇÃO - EXTER,BM CEZAR,01/03/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
B18 - SALV ALTURA,BM CEZAR,01/03/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
B25 - VENDAVAL GRANIZO,BM CEZAR,01/03/24,,INSERÇÃO MÉDICO EM AG. ENVOLVIDO
B2 - ARVORE - QUEDA DE - CORT,BM CEZAR,14/03/2024,,INSERÇÃO DE S NO ENCAMINHA DESPACHO
B4 - ELETRICO - RISCO,BM CEZAR,14/03/2024,,INSERÇÃO DE S NO ENCAMINHA DESPACHO
B5 - EXPLOSÃO,BM CEZAR,14/03/2024,,INSERÇÃO DE S NO ENCAMINHA DESPACHO
B6 - FUMAÇA EXTERIOR - VERIFI,BM CEZAR,14/03/2024,,INSERÇÃO DE S NO ENCAMINHA DESPACHO
B8 - INCÊNDIO EM EDIFICAÇÃO,BM CEZAR,14/03/2024,,INSERÇÃO DE S NO ENCAMINHA DESPACHO
B9 - INCÊNDIO EXTERIOR,BM CEZAR,14/03/2024,,INSERÇÃO DE S NO ENCAMINHA DESPACHO
B11 - INCÊNDIO VEICULAR,BM CEZAR,14/03/2024,,INSERÇÃO DE S NO ENCAMINHA DESPACHO
B12 - INCIDENTE COM AERONAVE,BM CEZAR,14/03/2024,,INSERÇÃO DE S NO ENCAMINHA DESPACHO
B14 - INCIDENTE COM TREM - METR,BM CEZAR,14/03/2024,,INSERÇÃO DE S NO ENCAMINHA DESPACHO
B23 - SERVIÇO APOIO ORGAO,BM CEZAR,14/03/2024,,INSERÇÃO DE S NO ENCAMINHA DESPACHO
B25 - VENDAVAL GRANIZO,BM CEZAR,14/03/2024,,INSERÇÃO DE Ocorrencia na Class. Chamado e  S NO ENCAMINHA DESPACHO
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
-------- 2 - Dados
Naturezas
R1 - INCIDENTE EM MEIO LÍQUIDO
R2 - CHOQUE ELÉTRICO-RAIO
R3 - INCONSCIENCIA-DESMAIO
R4 - OVACE BEBE+ADULTO
R5 - PCR
C1 - AVC-DERRAME
C2 - ALERGIA-REAÇÃO MEDICAMENT
C3 - CONVULSÕES - EPILEPSIA
C4 - DIABETES
C5 - DOR ABDOMINAL
C6 - DOR DE CABEÇA
C7 - DOR NAS COSTAS
C8 - DOR NO PEITO - PROBLEMAS C
C9 - ENVENENAMENTO - OVERDOSE
C10 - GRAVIDEZ - PARTO - ABORTO
C11 - PROBLEMA DESC - HOMEM CAÍ
C12 - PROBLEMAS RESPIRATÓRIOS
C13 - PSIQUIÁTRICO
C14 - SUICÍDIO - TENTATIVA DE S
T1 - ACIDENTE C MAQUINA-INDUST
T2 - ACIDENTE DE TRANSITO
T3 - AGRESSÃO - VIOL. SEXUAL
T4 - FAB E FAF
T5 - MORDIDA DE ANIMAL
T6 - ANIMAIS PEÇONHENTOS
T7 - QUEDAS-TRAUMA DE COLUNA
T8 - QUEIMADURAS
T9 - TRAUMAS ESPECÍFICOS
B1 - ANIMAL - SALVAM. - CAPTU
B2 - ARVORE - QUEDA DE - CORT
B3 - DESLIZAMENTO - SOTERRAMENT
B4 - ELETRICO - RISCO
B5 - EXPLOSÃO
B6 - FUMAÇA EXTERIOR - VERIFI
B6 - FUMAÇA EXTERIOR - VERIFICA
B7 - INCÊNDIO - ALARME
B8 - INCÊNDIO EM EDIFICAÇÃO
B9 - INCÊNDIO EXTERIOR
B10 - INCÊNDIO FLORESTAL
B11 - INCÊNDIO VEICULAR
B12 - INCIDENTE COM AERONAVE
B13 - INCIDENTE COM EMBARCAÇÃO
B14 - INCIDENTE COM TREM - METR
B15 - INSETOS - REMOÇÃO - EXTER
B16 - PESSOA PERDIDA
B17 - PRODUTOS PERIGOSOS
B18 - SALV ALTURA
B19 - SALV AQUATICO - ENCHENTE
B20 - SALV CONFINADO - COLAPSAD
B21 - SALV ELEVADOR
B22 - VAZAMENTO GAS - GLP-GN
B23 - SERVIÇO APOIO ORGAO
B24 - SERVIÇO ASSIST CIDADAO
B25 - VENDAVAL GRANIZO
-------- 3 - INICIAL
w,,,,,,,,,,,,,,,,,,,,,,,,,
Nº,PERGUNTA CHAVE,ALTERNATIVA,PROX. PASSO,CLASS CHAMAD,ENC. DESP,PRIORIDADE,AG. ENVOL,ARV. COMPL.,COMP. NAT,ORIENTAÇÕES,,,,,,,,,,,,,,,
1,BOMBEIROS EMERGENCIA,Relata um possível chamado de bombeiro,2,,,,,,,,,,,,,,,,,,,,,,
,,Relata um chamado policial,Finalizar,,,,,,,Transfira para 190 ou peça para ligar 190,,,,,,,,,,,,,,,
,,Relata um chamado do SAMU,Finalizar,,,,,,,Transfira para 192 ou peça para ligar 192,,,,,,,,,,,,,,,
,,Solicita informações relacionadas ao Corpo de Bombeiros,Finalizar,,,,,,,Informe o telefone comercial do CBPR,,,,,,,,,,,,,,,
,,Solicita informações não relacionadas ao Corpo de Bombeiros,Finalizar,,,,,,,Informe que se trata de um linha de emergência,,,,,,,,,,,,,,,
,,Telefone mudo,Finalizar,,,,,,,"Repita a saudação, se permanecer mudo, desligue o telefone",,,,,,,,,,,,,,,
,,Telefone com som ambiente diverso,Finalizar,,,,,,,"Ouça com atenção, se não for possível determinar, desligue o telefone.",,,,,,,,,,,,,,,
,,Língua estrangeira,Cartão Inglês,,,,,,,,,,,,,,,,,,,,,,
,,Grunhidos e/ou gemidos,2,,,,,,,,,,,,,,,,,,,,,,
2,Qual seu nome?,Anotar somente nome do solicitante,3,,,,,,,,,,,,,,,,,,,,,,
,,Anonimo,3,,,,,,,Anotar ANONIMO se o solicitante não quiser identificar-se.,,,,,,,,,,,,,,,
,,Incompreensivel,3,,,,,,,,,,,,,,,,,,,,,,
3,Qual o número de telefone?,Anotar o número do telefone com DDD,4,,,,,,,,,,,,,,,,,,,,,,
,,Não deseja informar o número,4,,,,,,,,,,,,,,,,,,,,,,
,,Não sabe,4,,,,,,,,,,,,,,,,,,,,,,
4,Qual o endereço da emergência?,"Anotar o endereço com cidade, logradouro, número, bairro, esquina e ponto de referência",5,,,,,,,,,,,,,,,,,,,,,,
,,Detalhe o máximo possível em endereços rurais,5,,,,,,,,,,,,,,,,,,,,,,
5,Repetir o endereço,"Repita o endereço para o solicitante, confirmando os dados.",6,,,,,,,,,,,,,,,,,,,,,,
 ,O que está acontecendo exatamente?,Anote o tipo do chamado,CARTAO ESPECIFICO,,,,,,,,,,,,,,,,,,,,,,
,,Vítima inconsciente e/ou em parada cardíaca,CARTAO ESPECIFICO,Ocorrência,,Alta,,,,,,,,,,,,,,,,,,,
,,Incêndio em edificação e/ou em veículo,CARTAO ESPECIFICO,Ocorrência,,Média,,,,,,,,,,,,,,,,,,,
,,Problema desconhecido,CARTAO ESPECIFICO,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
